ID's,Image Links,Title,Duration,Price Category,Group Type,Activity Type,Trip Overview,Highlights,Included,Excluded,Live Tour Guide Languages,Old Price,Actual Price,Free Cancellation
469612,https://cdn.getyourguide.com/img/tour/b8c8e80a137da4c7c3670b5dae8425cba26ff504b1cb45b65e634551496b44e5.jpeg/132.webp,"From Delhi: 5 Days Golden Triangle Delhi, Agra & Jaipur Tour",5 days,per person,Private group,Multi-day trip,"Discover the Golden Triangle in 5 days and 4 nights. Explore Islamic and Hindu architecture in Old and New Delhi, visit the Taj Mahal and the city of Agra, and visit the Amer Fort in Jaipur.","Explore the three capitals of India – Delhi, Agra and Jaipur – in just 5 daysVisit both Old and New Delhi, experiencing a mix of ancient and modern sitesWitness the magnificent Taj Mahal, one of the wonders of the world, at sunriseExplore Jaipur's sites like Amer Fort, Hawa Mahal, Jantar Mantar & City PalaceUncover hidden gems like Fatehpur Sikri and Chand Baodi Stepwell at Abhaneri","Pick up and drop off serviceTransportation in air-conditioned vehicle for 5 daysHotel accommodation 5 or 3 stars (If Option Selected)Daily breakfast at the hotel (if Hotel provided by us)Knowledgeable tour guide in Delhi, Agra, Fatehpur Sikri and JaipurFree water bottles and umbrellasAll parking fees and taxes are included",Lunch and Dinner expensesAny type of DrinksTour Guide for Chand Baodi StepwellMonument Entrance FeeTips and gratuities,"English, Spanish, French, Japanese, Russian, German, Italian, Hindi, Chinese"," ₹18,500","₹14,800",Cancel up to 24 hours in advance for a full refund
479594,https://cdn.getyourguide.com/img/tour/6495e06ca338b.jpeg/132.webp,"Delhi: 3-Day Delhi, Agra & Jaipur Guided Tour with Hotels",3 days,per person,Pickup available,Multi-day trip,"Explore Delhi, Agra, and Jaipur on a 3-day guided trip from Delhi. Marvel at breathtaking monuments, including the Taj Mahal and Agra Fort. Book options for entry tickets and accommodation.","Visit Qutub Minar, Humayun Tomb, India Gate, Lotus Temple in New Delhi.View the breathtaking Taj Mahal and explore Agra Fort in Agra.Visit Amber Fort, City Palace, Jal Mahal, Hawa Mahal, Jantar Mantar in JaipurLearn about the history of these cities with an experienced tour guide.Enjoy luxury transportation throughout the tour",Hotel/airport pickup and drop-offTransportation in the air-conditioned carDriverGuideRickshaw ride in Old DelhiEntry tickets to all monuments (if option selected)2 nights hotel accommodation with breakfast (if option selected),Food and drinksPersonal expensesTips,"Pick-up Available from any Hotel in Delhi / Gurgaon / Noida. Pick-Up Available at Delhi Airport - Exit of Gate no. 4, terminal 3 Arrivals"," ₹19,000","₹19,000",Cancel up to 24 hours in advance for a full refund
444540,https://cdn.getyourguide.com/img/tour/01ba36694334e2b25df0c7c622ebf221afc198f774b75dbbc3736f497c6f3057.jpg/132.webp,From Delhi: Private 2-Day Delhi & Agra Tour with Hotel,2 days,per person,Private group,Multi-day trip,"Explore Delhi and Agra in style with a private car tour. Your expert guide will take you to must-visit attractions like the Taj Mahal, Agra Fort, Jama Masjid, Humayun's Tomb, and more.","Marvel at the timeless beauty of the Taj Mahal, a symbol of enduring loveExplore Agra Fort, a UNESCO site along the Yamuna River, initiated by AkbarExplore Delhi's Mughal legacy with brief stop at the Red Fort and Humayun's TombExperience tranquility at the towering Jama Masjid amid the chaos of Old DelhiAdmire Qutub Minar's UNESCO elegance, a 75-meter-tall Afghan-inspired structure","Hotel and Airport pick-up and drop-offAll sightseeing and transfers in an air-conditioned private carComplimentary water bottleLive professional tour guide1-Night hotel stay on single, double, twin, or triple sharing (applicable with hotel option)Complimentary morning breakfast at the hotel (included with the hotel option)","Meals except breakfast, monument fees, tips and personal expenses","English, French, Spanish, Russian, German, Japanese, Hindi"," ₹10,999","₹5,500",Cancel up to 24 hours in advance for a full refund
626249,https://cdn.getyourguide.com/img/tour/269b42a652894852018aa355ae3f4bafb9b4976f20def0628930648efcdc3c47.jpg/132.webp,From Delhi: 3-Day Private Golden Triangle Tour with Hotels,3 days,per person,Private group,Multi-day trip,"Explore the Golden Triangle on a 3-day tour from Delhi, visiting iconic sites like the Taj Mahal, Agra Fort, Fatehpur Sikri, Amber Fort, Jal Mahal, and more.","Discover the history and culture of India on a 3-day Golden Triangle tourVisit the Jama Masjid, the Red Fort, and Chandni Chowk in Old DelhiExplore the India Gate, Rashtrapati Bhavan, Humayu's Tomb, and Qutub MinarSee the Taj Mahal at sunrise and visit Agra Fort and Fatehpur SikriExplore the Amber Fort, Jal Mahal, Hawa Mahal, City Palace, and Jantar Mantar","Hotel pickup and drop-offTransportation by private, air-conditioned vehicle2 nights accommodation with breakfast (if option selected)Daily breakfast at hotels (if accommodation booked)Rickshaw ride in Old DelhiBattery bus ride to the Taj MahalUnlimited bottles of mineral waterPrivate guide at all sites",Meals and drinksMonument entry feesGratuityPersonal expenses,"English, French, German, Spanish, Russian, Hindi"," ₹18,648","₹9,324",Cancel up to 24 hours in advance for a full refund
555609,https://cdn.getyourguide.com/img/tour/921c3bf03a4eff64e064efbb353dba3f6d9446914d6570630faa27583bcfbb66.jpg/132.webp,4-Days Luxury Golden Triangle Tour Agra & Jaipur from Delhi,4 days,per person,Pickup available,Multi-day trip,Come and fall in love with our Golden Triangle Tour 4 days wherein we would take you to the journey to Delhi Agra & Jaipur See the Qutab Minar Lotus Temple Taj Mahal Agra Fort Hawa Mahal City Palace.,"Discover the ancient cities of Delhi, Agra, and Jaipur as you travel backStay in luxury hotels in the great cities of the Golden TriangleExplore iconic sights like the unforgettable Taj Mahal and Agra FortVisit the beautiful Palace of the Winds and hilltop Amber FortHotel, airport, railway, or other New Delhi pickup and drop-off included",Private 4 Days TourHotel or airport pickup and drop-off includedThree nights accommodation with breakfast (if option chosen)All transfers & sightseeing by private air-conditioned car and driverPrivate live tour guidePersonalized care and attentionTuk-Tuk Ride: To and from Old DelhiGolf Cart Ride: To and from Taj Mahal ParkingBottles of mineral water and soft drinks during the journeyFuel surcharge,"Entrance Fees (Approx. 70 USD for all monuments)Any Lunches, dinners, and extra drinksTips & Gratuities",We pick-up from hotel anywhere in Delhi / Gurgaon / Noida / Faridabad / Ghaziabad. We also pick-up from Delhi Airport at Terminal 3.," ₹14,000","₹7,000",Cancel up to 24 hours in advance for a full refund
500071,https://cdn.getyourguide.com/img/tour/86b1d38be4a4b83d.jpeg/132.webp,2 Days Delhi and Agra Tour by Car With an approved guide,2 days,per person,Private group,Multi-day trip,"If you are planning to visit India for the first time, then you explore the most important cities like Delhi and Agra.",Welcome to delhi the capital of India.Comfortable A/C Car for entire tour.Explore the local market at Agra.,Pick-up & Drop Service.Accommodation in Agra.Breakfast at Hotel in AgraAn experienced English speaking Tour GuideMineral water during sight-seeingTransportation service by Ac-Car.Free WiFi in Car.Toll Tax & Parking.,,"Spanish, French, Japanese, English, Hindi, Urdu"," ₹5,075","₹4,365",Cancel up to 24 hours in advance for a full refund
508120,https://cdn.getyourguide.com/img/tour/b50fd4c9ea81b3cf.jpeg/132.webp,7 Days Golden Triangle India Tour with Varanasi,7 days,per person,Pickup available,Multi-day trip,"Explore the architectural & heritage marvel in Delhi, Agra & Jaipur with Varanasi on this 7 Days Trip from Delhi & experience the cultural diversity by explore these famous city of India with Varanasi","Experience the vibrant & colorful culture & Heritage of the IndiaVisit the Delhi, Agra, Jaipur with VaranasiMarvel at the beauty of the Amer Fort, Qutub Minar, Hawa Mahal Taj Mahal & MoreVisit the historical and heritage monument of India with Religious city VaranasiTravel comfortably in a air-conditioned vehicle","Hotel/Railway Station/Bus Station Pick-up & Drop by Air-Conditioned vehicleAir-conditioned vehicle & Private transportationFuel (Petrol/Diesel/Gasoline), Parking Charges, Toll Taxes & Interstate...Bottled waterFlight Tickets from Jaipur to Varanasi",Monuments Entrance Fees / Camera FeesHotel / AccomodationMeals & Personal ExpensesOther ActivitiesDriver Tips,"Your hotel in Delhi (please provide your hotel details)
Delhi Airport (please provide your flight details)
Delhi Railway Station (please provide your train details)
Delhi Bus Station (please provide your bus details)"," ₹80,000","₹80,000",Cancel up to 24 hours in advance for a full refund
629383,https://cdn.getyourguide.com/img/tour/a7c3780b23336b0b099d6f959f02d160eb48e0b8ddc103998199d8189b770f7d.jpg/132.webp,"From Delhi: Private 5-Day Delhi, Agra and Jaipur Tour",5 days,per person,Small group,Multi-day trip,"Enjoy a 5 day Golden Triangle tour covering Delhi, Agra and Jaipur in which you will encounter various famous landmarks, including a breathtaking sunrise excursion of the Taj Mahal.","Discover Delhi, Agra and Jaipur over the course of 5 daysLearn the history of India from your English speaking guideEnjoy Indian culture and history along the Golden TriangleExperience sunrise Taj Mahal from inside","4 night accommodation in hotels (if option chosen)Pick up and drop-off at the airport or railway stationAir-conditioned car with a driverMineral waterfuelToll plazaparkingstate taxLive English guide in Delhi, Agra and Jaipur","Monuments entrance feesCamera chargesDriver and guide GratuitiesMealsPersonal expenses such as tips, laundry, telephone calls, liquor, shopping billsAny other activity which are not mentioned in the itinerary","English, Hindi"," ₹15,850","₹15,850",Cancel up to 24 hours in advance for a full refund
533623,https://cdn.getyourguide.com/img/tour/a6d9b07349166ea3e351aa6be7aa15450e43da3d5f933de9226ff07612a933aa.jpeg/132.webp,From Delhi: Private 5 Days Golden Triangle Guided Tour,5 days,per person,Private group,Multi-day trip,"Experience the allure of the Private Golden Triangle Tour 5 Days the essence of this remarkable region convergence of culture, art, and profound historic significance that will leave you spellbound.","Explore the beauty of the historic cities of Delhi, Agra and Jaipur.View the breathtaking Taj Mahal and explore Agra Fort in AgraVisit Amber Fort, City Palace, Jal Mahal, Hawa Mahal, Jantar Mantar in JaipurSee the Qutub Minar, Humayun Tomb, India Gate, Lotus Temple in New DelhiEnjoy luxury transportation throughout the private tour","Private tour4 nights accommodation (4, or 5-star hotel options available if option selected)Transportation by private, air-conditioned vehiclePrivate guide in all sitesRickshaw ride in Old DelhiDaily breakfast at the hotelsBattery bus ride to and from the Taj Mahal parking lot up to the Taj Mahal monumentFuel surchargeAll taxes and service chargesAll applicable hotel taxesPick-up and drop off at hotels, the airport or railway stationBottles of mineral water during the journeysPersonal care and attention",Tips (optional)Entrance fees (approximately $80)Lunch and dinnerpersonal expenses,"English, French, Russian, German, Spanish, Hindi, Japanese, Italian"," ₹50,000","₹29,250",Cancel up to 24 hours in advance for a full refund
497491,https://cdn.getyourguide.com/img/tour/3ec67556e8484892.jpeg/132.webp,"From Delhi : 6 Days Delhi, Jaipur, Agra & Ranthambore By Car",6 days,per person,Private group,Multi-day trip,"Experience 6 days tour of Delhi, Jaipur, Agra & Ranthambore by car. Explore the rich history and experience the wildlife in Ranthambore. A delectable blend of culture, heritage and nature awaits you.","Delhi boasts a treasure trove of historical landmarks like Qutub, Humayun & JamaJaipur is renowned for its majestic palaces, Like the City Palace & Amer FortRanthambore is a paradise for wildlife enthusiasts, offer thrilling tiger safariAgra is home to the mesmerizing Taj Mahal, an architectural masterpiece",Pick-up and Drop-off from anywhere in Delhi/Ncr5 Night Hotel Accommodation 3/5 star hotel (if option selected)Breakfast at Hotel (if option selected)All Meal in Ranthambore (if option selected)Air Condition vehicle for 6 daysEnglish Speaking DriverLanguage expert tour guide in each cityEnglish speaking forest expert guide in RanthamboreOne morning & One evening Tiger SafariForest Vehicle expenses,Lunch & DinnerAny drink served with mealMonument entrance feesAny photography feesPersonal ExpensesTip and Gratitude,"English, French, German, Spanish, Italian, Japanese, Chinese, Portuguese, Hindi"," ₹32,500","₹24,375",Cancel up to 24 hours in advance for a full refund
490130,https://cdn.getyourguide.com/img/tour/f6a2c4faec69d7750830b036cfaec27ad6a590ec96818773377280889f3968ec.jpg/132.webp,New Delhi: 3-Day Private Golden Triangle Tour with Lodging,3 days,per person,Private group,Multi-day trip,"Indulge in a lavish 3-day private Golden Triangle tour, discovering Delhi, Agra, and Jaipur, complete with pick-up and drop-off services","Old Delhi's Jama Masjid and Red Fort, coupled with modern marvel like India GateSunrise at the timeless Taj Mahal, a symbol of enduring loveMughal grandeur at Agra Fort, crafted by Emperor Akbar.Morning sightseeing, local market exploration, and a return to Delhi.Dive into Jaipur's vibrant markets for unique handicrafts and traditional finds.","Pick-up and drop-off at the airport or hotelAll sightseeing and transfers via air-conditioned private carToll tax, parking, and driver allowanceUnlimited water bottlesLive private tour guide2-night hotel accommodation (if hotel option chosen)Morning breakfast at the hotel (if hotel option chosen)","Meals, excluding breakfastLaundry and phone call chargesTips, monument fees, and any other personal expenses","English, French, German, Hindi, Japanese, Russian, Spanish"," ₹19,999","₹10,000",Cancel up to 24 hours in advance for a full refund
637208,https://cdn.getyourguide.com/img/tour/01ba36694334e2b25df0c7c622ebf221afc198f774b75dbbc3736f497c6f3057.jpg/132.webp,From Delhi: Private 4-Day Golden Triangle Tour with Hotels,4 days,per person,Private group,Multi-day trip,"Discover the Golden Triangle of India on a 4-day tour from Delhi. Explore the cities of Agra and Jaipur, and see iconic landmarks like the Taj Mahal, Agra Fort, and Amber Fort.",Explore the iconic Qutub Minar and the Lotus Temple in DelhiVisit the majestic Amber Fort and the Jal Mahal in JaipurDiscover the architectural wonders of Hawa Mahal and Jantar MantarAdmire the beauty of the Taj Mahal and Agra Fort in AgraSee the grand Maharaja's City Palace in Jaipur,Airport or hotel Pick-up and drop-offPrivate transportation in an air-conditioned vehicleAll sightseeing with private local guidesAll applicable taxes and service chargesComplimentary bottles of mineral water during the journeysPersonalized care and attention3 nights accommodation (if selected)Daily breakfast at the hotels (if hotel option chosen),Meals and drinksEntrance fees to monumentsPersonal expenses,"English, French, Spanish, Russian, German, Hindi, Italian"," ₹34,786","₹9,187",Cancel up to 24 hours in advance for a full refund
491876,https://cdn.getyourguide.com/img/tour/64b95ce048d4d.png/132.webp,2-Day Private Jaipur City Sightseeing Tour From Delhi,2 days,per group up to 2,Pickup available,Multi-day trip,"Make the most of your first day exploring City Palace, Jantar Mantar, and Amber Fort. Reserve the second day for Hawa Mahal, Jaigarh, and Nahargarh Forts.",AC vehicle for comfortDive into royal historyPrivate tour for flexibilityCapture memorable photos,Twin sharing accommodation (if selected)Hotel breakfast (if selected)Private air-conditioned vehicle for pick-up and drop-offFuel charges and parking feesProfessional tour guideComplimentary water bottleAll applicable taxes for a hassle-free journey.,Monument feeFood and drinksGratuities,," ₹20,271","₹20,271",Cancel up to 24 hours in advance for a full refund
630481,https://cdn.getyourguide.com/img/tour/2a0559682d9ec5b2b807fdd2685591515416fd9d2166bdcac840ad5f91b079e0.jpg/132.webp,From Delhi: 2-Day Golden Triangle Tour to Agra and Jaipur,2 days,per person,Private group,Multi-day trip,"Explore the Golden Triangle on a 2-day tour from Delhi. Visit Agra and Jaipur, and see the Taj Mahal, Agra Fort, Amber Fort, City Palace, Hawa Mahal, and Jantar Mantar.","Discover the UNESCO-listed Amber Fort for its distinctive Hindu architectureImmerse yourself in the City Palace, a complex featuring museums, courtyardsVisit Hawa Mahal, cherished as the ""Palace of the Wind"" and a Jaipur landmarkExplore Agra Fort, a UNESCO site with rich history dating back to Emperor AkbarSee the Taj Mahal, a Heritage Site built by Shah Jahan in memory of his wife","Hotel pickup and drop-off1-nights accommodation with daily breakfast (if option booked)Transportation by private, air-conditioned vehiclePrivate guide at all sitesRickshaw ride in Old DelhiBattery bus ride to the Taj Mahal entry gateUnlimited bottles of mineral waterPrivate tour",Entry feesMeals and drinksTips,"English, French, Russian, Spanish, German, Japanese, Hindi"," ₹18,996","₹9,498",Cancel up to 24 hours in advance for a full refund
554712,https://cdn.getyourguide.com/img/tour/f7cea21ce2879a47f489fc8fae9891047b7a06b8902ecc37e9e03507d26f000c.jpeg/132.webp,From Delhi: 6-Day Golden Triangle and Udaipur Private Tour,6 days,per person,Private group,Multi-day trip,"This 6-Day Golden Triangle and Udaipur tour itinerary consists of 4 famous cities in India: Delhi, Agra, Jaipur and Udaipur. Visit all their amazing sites with a private guide, including the Taj Mahal","Visit the famous Golden Triangle comprising Delhi, Agra and JaipurEnjoy time in Udaipur as an added extra to the Golden Triangle experienceExplore the monumental sites such as the Taj Mahal, Qutub Minar, India GateHave a hassle-free journey with flights and accommodation prearranged if wishedTailor the trip to suit your needs, with different types of accommodation","Private tourTransport by private, air-conditioned carAll sightseeing with private local guidesFlight ticket from Jaipur to UdaipurAll taxes and service chargesHotel or airport pick-up and drop-offFive nights accommodation in hotels (if option selected)Daily hotel breakfast (if tour booked with hotels option)Flight ticket from Udaipur to Delhi (if option selected)",LunchEntrance fees to all monumentsDinnerGratuities (optional),"English, French, German, Hindi, Portuguese, Spanish, Japanese, Russian"," ₹30,500","₹30,500",Cancel up to 24 hours in advance for a full refund
